exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AAM.W,d,2025-12-03,0.17,0.1873,0.161,0.17,105600,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-04,0.1879,0.1879,0.17,0.17,72300,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-05,0.17,0.1704,0.16,0.16,13700,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-08,0.17,0.1713,0.17,0.17,10000,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-09,0.17,0.1727,0.17,0.17,6700,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-15,0.18,0.24,0.17,0.17,2700,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-16,0.17,0.19,0.1564,0.19,20300,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-17,0.28,0.28,0.18,0.18,42000,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-18,0.1731,0.2,0.1731,0.1999,300,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-22,0.17,0.2,0.17,0.2,200,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-23,0.1921,0.2067,0.1811,0.2067,4300,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-24,0.1821,0.1962,0.1821,0.1889,900,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-29,0.206,0.206,0.171,0.195,5400,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2025-12-31,0.17,0.2,0.1697,0.1697,12700,AAM.W,NYSE,2026-01-04 16:19:47.890765
NYSE,AAM.W,d,2026-01-02,0.17,0.1701,0.17,0.1701,1100,AAM.W,NYSE,2026-01-04 16:19:47.890765
