exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AAM,d,2025-12-03,10.6,10.6,10.6,10.6,6100,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-05,10.61,10.61,10.61,10.61,17600,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-08,10.65,10.65,10.65,10.65,100,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-09,10.7,10.7,10.61,10.61,3900,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-10,10.7,10.7,10.61,10.64,754300,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-11,10.67,10.67,10.61,10.61,13700,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-12,10.625,10.625,10.62,10.62,56800,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-15,10.62,10.62,10.62,10.62,33700,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-16,10.61,10.65,10.61,10.65,5700,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-17,10.63,10.63,10.63,10.63,100,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-18,10.63,10.63,10.62,10.62,1700,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-19,10.62,10.62,10.62,10.62,100,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-22,10.63,10.63,10.62,10.62,13500,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-23,10.68,10.68,10.64,10.64,250000,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-26,10.64,10.64,10.64,10.64,6500,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-29,10.65,10.65,10.65,10.65,100,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-30,10.61,10.65,10.61,10.65,2000,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2025-12-31,10.68,10.68,10.62,10.67,52100,AAM,NYSE,2026-01-04 16:17:36.432684
NYSE,AAM,d,2026-01-02,10.7,10.7,10.64,10.64,2900,AAM,NYSE,2026-01-04 16:17:36.432684
