exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AAT,d,2025-12-03,19.48,19.62,19.35,19.5,403700,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-04,19.13,19.15,18.82,18.88,402300,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-05,18.8,18.98,18.66,18.73,317500,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-08,18.79,18.79,18.51,18.55,396100,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-09,18.68,19.24,18.68,19.02,472300,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-10,19.0,19.25,18.89,19.05,491900,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-11,19.17,19.445,19.129,19.23,414000,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-12,19.35,19.35,19.055,19.16,497400,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-15,19.25,19.365,19.16,19.33,461800,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-16,19.35,19.36,19.09,19.19,348200,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-17,19.2,19.46,18.98,19.08,439700,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-18,19.11,19.25,18.975,19.01,367000,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-19,18.88,19.11,18.72,18.75,1604000,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-22,18.71,18.91,18.62,18.71,349200,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-23,18.7,18.8288,18.57,18.6,918100,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-24,18.61,18.87,18.6,18.84,232200,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-26,18.74,18.945,18.74,18.9,314700,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-29,18.94,19.15,18.94,19.08,337900,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-30,19.04,19.21,19.02,19.05,304100,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2025-12-31,19.06,19.07,18.9,18.93,270600,AAT,NYSE,2026-01-04 16:22:32.469356
NYSE,AAT,d,2026-01-02,18.89,18.9,18.61,18.78,236200,AAT,NYSE,2026-01-04 16:22:32.469356
