exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AB,d,2025-12-03,41.61,41.937,41.01,41.01,181800,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-04,41.01,41.81,40.9275,41.58,173000,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-05,41.84,42.8,41.64,42.8,312100,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-08,42.67,42.71,41.85,41.88,145300,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-09,41.12,41.7913,40.26,40.59,678600,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-10,40.66,41.22,40.5,41.11,374500,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-11,41.09,41.3705,40.48,40.66,221400,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-12,40.26,40.79,39.75,39.96,179600,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-15,39.99,40.535,39.89,39.92,170600,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-16,39.96,40.31,39.79,39.85,182700,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-17,39.75,40.135,39.04,39.36,198700,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-18,39.41,39.7,39.1837,39.22,150700,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-19,39.95,39.95,38.9,39.31,203900,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-22,39.12,39.75,38.88,39.07,220100,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-23,38.71,39.025,38.7055,38.84,141500,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-24,38.7,39.2399,38.6,39.02,66300,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-26,38.82,39.295,38.82,39.17,121300,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-29,39.05,39.28,38.4,39.19,161300,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-30,39.02,39.27,38.8801,39.04,102100,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2025-12-31,39.04,39.07,38.48,38.48,156800,AB,NYSE,2026-01-04 16:23:38.348322
NYSE,AB,d,2026-01-02,38.4,38.845,38.2589,38.64,170700,AB,NYSE,2026-01-04 16:23:38.348322
