exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABBV,d,2025-12-03,224.84,230.79,224.52,230.24,4873200,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-04,230.11,230.94,227.59,228.71,3733100,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-05,228.93,229.25,225.05,226.08,3985100,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-08,226.08,226.12,222.39,223.12,4006000,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-09,223.89,224.82,220.2301,222.99,4268000,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-10,225.0,225.98,221.0,225.18,8735100,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-11,225.54,225.96,222.24,223.98,4170600,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-12,223.68,223.82,221.1,223.32,5467600,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-15,224.24,228.3,223.56,227.45,5972100,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-16,226.41,226.84,221.91,223.67,6405900,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-17,223.88,226.41,222.86,224.31,5243800,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-18,224.0,226.26,222.79,222.82,4760300,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-19,222.95,229.47,222.35,226.82,18968800,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-22,226.11,228.65,224.25,227.91,4828000,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-23,228.22,230.79,227.91,228.79,3612200,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-24,229.46,230.8,228.9801,229.89,1744900,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-26,229.82,230.605,228.68,229.98,1593900,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-29,230.15,232.015,229.74,230.84,3803100,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-30,230.77,231.205,228.62,229.74,2347900,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2025-12-31,229.74,230.25,228.43,228.49,3197100,ABBV,NYSE,2026-01-04 16:24:11.308972
NYSE,ABBV,d,2026-01-02,228.74,230.74,225.71,229.31,3336800,ABBV,NYSE,2026-01-04 16:24:11.308972
