exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABCB,d,2025-12-03,75.69,77.12,75.69,76.71,441100,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-04,76.44,77.63,76.02,76.81,322000,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-05,76.33,76.94,76.04,76.55,310100,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-08,76.69,77.5,76.36,76.51,289700,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-09,76.71,77.42,75.755,76.04,337500,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-10,76.0,78.65,76.0,77.73,587100,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-11,77.66,78.865,77.51,78.26,474900,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-12,78.78,78.78,77.25,77.95,607300,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-15,78.74,78.99,77.69,78.66,604000,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-16,78.51,78.9753,77.58,77.78,462300,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-17,78.0,78.32,76.79,77.51,775400,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-18,78.3,78.61,77.51,77.89,553400,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-19,77.66,78.285,77.105,77.54,1011300,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-22,77.59,78.28,77.1,77.63,422000,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-23,77.85,77.85,76.35,76.42,389800,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-24,76.55,76.84,76.09,76.59,207400,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-26,76.34,76.645,75.79,76.0,285900,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-29,76.36,76.5,75.35,75.86,309500,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-30,75.71,75.75,74.8,75.24,435700,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2025-12-31,75.35,75.35,73.55,74.27,549500,ABCB,NYSE,2026-01-04 16:24:44.237755
NYSE,ABCB,d,2026-01-02,74.17,74.545,73.315,73.98,328200,ABCB,NYSE,2026-01-04 16:24:44.237755
