exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABEV,d,2025-12-03,2.58,2.62,2.58,2.62,19328400,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-04,2.61,2.61,2.57,2.58,18796400,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-05,2.59,2.6,2.45,2.46,58623800,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-08,2.49,2.5,2.45,2.47,36051000,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-09,2.45,2.49,2.44,2.47,36252600,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-10,2.41,2.46,2.39,2.45,51782700,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-11,2.46,2.53,2.455,2.5,26153700,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-12,2.53,2.5566,2.5,2.55,26077000,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-15,2.56,2.6,2.56,2.59,20838700,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-16,2.56,2.57,2.53,2.55,55522600,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-17,2.52,2.53,2.49,2.52,22641000,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-18,2.51,2.53,2.48,2.48,43111500,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-19,2.5,2.51,2.48,2.49,29901600,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-22,2.39,2.45,2.28,2.3,38850095,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-23,2.34,2.4,2.34,2.37,48393600,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-24,2.38,2.39,2.354,2.37,11541200,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-26,2.39,2.44,2.39,2.43,31253000,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-29,2.39,2.43,2.38,2.42,21664500,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-30,2.49,2.503,2.48,2.48,26025800,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2025-12-31,2.47,2.48,2.45,2.47,18068000,ABEV,NYSE,2026-01-04 16:25:17.206580
NYSE,ABEV,d,2026-01-02,2.49,2.5,2.44,2.47,24167300,ABEV,NYSE,2026-01-04 16:25:17.206580
