exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABG,d,2025-12-03,230.67,240.14,230.555,236.23,168400,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-04,233.58,236.77,230.5417,233.9,129700,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-05,235.1,240.44,233.335,238.9,209800,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-08,240.6,243.1599,238.1,238.68,220300,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-09,222.18,241.65,222.18,237.78,154100,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-10,238.84,247.66,237.5,244.38,190100,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-11,245.52,249.91,242.82,248.57,196800,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-12,250.0,250.0,241.2,243.64,145800,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-15,245.83,246.26,241.09,242.43,153300,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-16,243.14,243.45,240.045,242.15,180100,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-17,240.03,245.28,237.78,242.34,180800,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-18,244.39,247.1599,235.395,236.13,224400,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-19,235.04,238.165,233.77,236.9,367900,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-22,237.49,239.99,234.19,236.9,167400,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-23,235.83,239.57,233.67,237.38,239400,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-24,237.0,241.93,235.945,240.89,145200,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-26,238.9,242.73,238.59,241.46,140000,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-29,241.74,241.74,238.72,239.81,160200,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-30,238.99,240.0,236.35,236.52,145900,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2025-12-31,236.62,237.3925,231.69,232.53,165500,ABG,NYSE,2026-01-04 16:25:51.611411
NYSE,ABG,d,2026-01-02,232.63,234.98,227.74,234.76,275300,ABG,NYSE,2026-01-04 16:25:51.611411
