exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABR-D,d,2025-12-03,17.9,17.9655,17.85,17.85,5900,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-04,17.79,17.85,17.58,17.66,7300,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-05,17.66,17.66,17.55,17.55,34600,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-08,17.55,17.6279,17.539,17.54,13100,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-09,17.56,17.5635,17.49,17.5,12500,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-10,17.48,17.5,17.318,17.5,16600,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-11,17.4,17.4,17.33,17.38,8500,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-12,17.27,17.4165,17.27,17.31,11400,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-15,17.36,17.5,17.32,17.32,9100,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-16,17.4,17.4,17.25,17.31,13200,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-17,17.395,17.395,17.25,17.3,9500,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-18,17.3,17.3871,17.23,17.27,17200,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-19,17.33,17.3998,17.23,17.35,13100,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-22,17.32,17.5,17.32,17.4,9800,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-23,17.41,17.4605,17.3983,17.41,9500,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-24,17.4,17.4,17.05,17.06,31900,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-26,17.08,17.36,17.01,17.1,37800,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-29,17.22,17.46,17.11,17.44,13200,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-30,17.32,17.42,17.11,17.28,56400,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2025-12-31,17.2,17.315,17.02,17.05,45500,ABR-D,NYSE,2026-01-04 16:27:30.839268
NYSE,ABR-D,d,2026-01-02,17.15,17.3672,17.1201,17.25,17900,ABR-D,NYSE,2026-01-04 16:27:30.839268
