exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AAMI,d,2025-12-10,46.26,48.725,46.024,48.1,321400,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-11,47.79,49.38,47.21,49.22,351000,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-12,49.18,49.29,47.32,47.69,388600,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-15,48.18,48.84,47.27,47.66,227000,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-16,47.75,48.77,47.505,47.92,232000,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-17,48.08,48.515,46.02,46.88,259100,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-18,47.45,48.84,47.17,47.66,287800,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-19,47.52,48.2033,47.33,47.54,375700,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-22,47.7,48.45,47.42,48.14,154100,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-23,47.7,48.65,47.7,48.57,366300,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-24,48.37,48.71,48.23,48.41,44500,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-26,48.57,49.0,48.28,48.38,106100,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-29,48.23,48.46,47.2,48.07,125700,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-30,47.86,48.23,47.49,47.54,119900,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2025-12-31,47.63,47.86,46.75,47.0,124500,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2026-01-02,46.84,47.77,46.485,47.38,159000,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2026-01-05,47.6,50.95,47.6,49.28,338800,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2026-01-06,49.0,50.229,48.33,49.67,247000,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2026-01-07,49.52,49.55,47.65,48.47,158400,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2026-01-08,48.15,50.97,47.8845,50.85,320800,AAMI,NYSE,2026-01-11 11:09:36.432799
NYSE,AAMI,d,2026-01-09,50.88,51.6,50.4,51.37,199900,AAMI,NYSE,2026-01-11 11:09:36.432799
