exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABR-F,d,2025-12-10,22.16,22.24,22.1,22.24,4300,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-11,22.15,22.3,22.15,22.3,6600,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-12,22.3,22.3,22.1001,22.1499,3600,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-15,22.12,22.2,22.12,22.175,11500,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-16,22.2,22.25,22.172,22.25,13000,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-17,22.17,22.2,22.1,22.1,6200,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-18,22.2,22.3,22.15,22.17,10700,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-19,22.09,22.37,22.09,22.15,6500,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-22,22.12,22.46,22.05,22.17,19400,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-23,22.11,22.2,22.05,22.17,18300,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-24,22.07,22.26,20.85,21.74,66800,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-26,21.75,21.91,21.7,21.89,15400,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-29,21.75,22.2,21.75,22.15,13600,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-30,22.03,22.44,21.9,22.23,4700,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2025-12-31,22.13,22.32,21.75,21.76,42000,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2026-01-02,21.77,22.1798,21.76,21.88,7200,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2026-01-05,21.83,22.1634,21.83,22.04,7300,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2026-01-06,21.92,22.1,21.87,22.005,8500,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2026-01-07,22.09,22.09,21.9,22.01,6600,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2026-01-08,22.09,22.09,21.95,22.02,7900,ABR-F,NYSE,2026-01-11 11:16:41.579912
NYSE,ABR-F,d,2026-01-09,21.99,22.1,21.9,22.08,11000,ABR-F,NYSE,2026-01-11 11:16:41.579912
