exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,AAUC,d,2025-12-15,23.2,23.815,22.89,23.38,911600,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-16,23.3,23.6,22.22,22.37,637000,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-17,22.77,22.99,22.39,22.8,542200,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-18,22.65,23.185,22.32,22.67,842400,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-19,22.96,23.74,22.84,23.28,3229100,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-22,23.76,25.0,23.76,24.9,541676,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-23,25.05,25.099,24.3188,24.76,322300,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-24,24.55,24.68,24.1,24.46,133100,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-26,24.74,24.99,24.01,24.92,169900,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-29,24.0,24.13,22.95,22.96,574300,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-30,23.57,23.77,23.105,23.18,357900,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2025-12-31,22.89,23.415,22.77,22.88,243000,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-02,23.36,23.38,22.0,23.11,623200,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-05,23.79,24.1575,23.625,23.71,764000,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-06,24.02,25.2,23.99,25.16,548200,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-07,24.59,24.88,23.48,24.67,565900,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-08,24.3,24.88,24.05,24.84,524400,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-09,25.16,25.16,24.25,25.12,1437400,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-12,25.91,26.58,25.91,26.21,1482600,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-13,26.47,26.865,26.13,26.56,877400,AAUC,NYSE,2026-01-14 09:55:48.410141
NYSE,AAUC,d,2026-01-14,26.74,26.75,26.74,26.75,251,AAUC,NYSE,2026-01-14 09:55:48.410141
