exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABM,d,2025-12-15,47.16,47.58,46.475,47.18,660000,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-16,47.31,47.31,45.73,45.74,1416800,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-17,47.78,50.12,46.6034,48.25,1841800,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-18,47.09,47.675,42.16,43.47,2631400,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-19,43.08,43.395,41.545,42.17,2589600,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-22,42.68,42.68,41.62,42.21,1071900,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-23,42.05,42.235,41.42,41.75,642600,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-24,41.75,42.275,41.73,42.17,254600,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-26,42.04,42.78,41.96,42.67,589700,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-29,42.67,43.19,42.49,42.9,667800,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-30,42.71,43.06,42.41,42.7,557100,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2025-12-31,42.7,42.93,42.24,42.3,595300,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-02,42.3,42.92,42.05,42.68,567100,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-05,42.41,43.87,42.41,43.61,804200,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-06,43.59,44.07,43.14,43.79,697700,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-07,43.8,44.14,43.27,43.41,617000,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-08,43.41,44.2232,43.38,44.02,654200,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-09,44.02,44.71,43.93,44.69,563100,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-12,44.48,44.87,44.21,44.48,641900,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-13,44.25,44.61,43.755,44.27,714400,ABM,NYSE,2026-01-14 09:59:05.289291
NYSE,ABM,d,2026-01-14,44.39,44.39,44.36,44.36,775,ABM,NYSE,2026-01-14 09:59:05.289291
