exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
NYSE,ABR,d,2025-12-15,8.73,8.76,8.37,8.38,3705300,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-16,8.41,8.54,8.35,8.38,3105300,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-17,8.4,8.51,8.175,8.28,4442800,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-18,8.3,8.4,8.055,8.06,3404900,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-19,8.06,8.14,7.935,7.97,6797400,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-22,7.81,7.915,7.72,7.81,5265700,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-23,7.81,7.82,7.69,7.7,4432600,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-24,7.7,7.93,7.69,7.93,1684400,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-26,7.9,7.985,7.7801,7.97,2918600,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-29,7.91,7.99,7.81,7.83,3897700,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-30,7.81,7.9381,7.76,7.77,3884100,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2025-12-31,7.79,7.85,7.74,7.76,3941600,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-02,7.75,8.04,7.72,7.95,2540000,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-05,7.99,8.19,7.92,7.98,3904300,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-06,7.97,8.09,7.814,7.96,3272900,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-07,7.97,8.02,7.66,7.69,4347300,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-08,7.69,7.92,7.5801,7.79,5178600,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-09,7.91,8.14,7.78,8.07,3624300,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-12,8.01,8.05,7.77,7.81,2345039,ABR,NYSE,2026-01-14 09:59:38.118024
NYSE,ABR,d,2026-01-13,7.85,7.9073,7.695,7.75,3134000,ABR,NYSE,2026-01-14 09:59:38.118024
