exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AABB,d,2025-12-03,0.0139,0.0147,0.0136,0.0141,6852300,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-04,0.014,0.0142,0.0127,0.0139,12776000,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-05,0.0141,0.0141,0.0132,0.0138,6719700,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-08,0.0141,0.0145,0.0127,0.0133,6661200,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-09,0.0131,0.0137,0.0127,0.0128,6102400,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-10,0.0133,0.0133,0.012,0.013,12350200,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-11,0.013,0.0134,0.0122,0.0124,8520500,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-12,0.0126,0.0133,0.0122,0.0132,5286700,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-15,0.0125,0.0139,0.0125,0.0131,7695700,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-16,0.0132,0.0188,0.0131,0.0179,36955800,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-17,0.0191,0.0196,0.0142,0.0146,13606200,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-18,0.0141,0.0157,0.0135,0.0157,13908600,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-19,0.0163,0.0164,0.0147,0.0148,7527100,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-22,0.0155,0.0191,0.0149,0.0158,14820900,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-23,0.0159,0.0181,0.0156,0.0175,9245200,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-24,0.018,0.019,0.0174,0.0184,13208300,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-26,0.019,0.019,0.0179,0.0185,12111900,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-29,0.0185,0.0189,0.0171,0.0171,11661300,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-30,0.0171,0.0173,0.0143,0.0145,17172800,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2025-12-31,0.0145,0.0152,0.0138,0.0144,13110700,AABB,OTCBB,2026-01-04 16:30:50.417285
OTCBB,AABB,d,2026-01-02,0.0149,0.0165,0.0143,0.0144,6297800,AABB,OTCBB,2026-01-04 16:30:50.417285
