exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAFRF,d,2025-12-03,4.267,4.267,4.24,4.24,1061800,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-04,4.272,4.272,4.24,4.264,122700,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-05,4.2,4.28,4.2,4.2,1400,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-08,4.219,4.219,4.219,4.219,300,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-09,4.125,4.4,4.125,4.4,1100,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-10,4.03,4.2,4.03,4.2,2000,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-11,4.205,4.322,4.205,4.205,500,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-12,4.304,4.304,4.14,4.304,143200,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-15,4.38,4.45,4.26,4.2808,2200,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-16,4.154,4.288,4.154,4.154,2200,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-17,4.36,4.36,4.2375,4.2375,2100,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-18,4.3,4.3,4.3,4.3,5000,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-19,4.315,4.399,4.288,4.288,5900,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-22,4.55,4.55,4.32,4.32,2200,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-24,4.394,4.43,4.31,4.406,2500,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-26,4.459,4.536,4.459,4.536,500,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-29,4.67,4.682,4.511,4.682,5500,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-30,4.7,4.8,4.7,4.8,600,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2025-12-31,5.0,5.44,5.0,5.44,3600,AAFRF,OTCBB,2026-01-04 16:33:35.093558
OTCBB,AAFRF,d,2026-01-02,4.976,5.3,4.885,5.01,3600,AAFRF,OTCBB,2026-01-04 16:33:35.093558
