exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAGFF,d,2025-12-03,0.6603,0.6803,0.632,0.6671,732800,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-04,0.6503,0.66,0.6008,0.6193,873200,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-05,0.6499,0.694,0.615,0.6289,1012400,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-08,0.6342,0.675,0.605,0.6115,271100,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-09,0.6243,0.7129,0.61,0.6888,797800,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-10,0.69,0.7034,0.6501,0.695,587000,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-11,0.7,0.749,0.7,0.723,1146000,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-12,0.744,0.75,0.6801,0.7001,924700,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-15,0.7,0.72,0.6517,0.6677,2058300,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-16,0.65,0.7,0.6347,0.6457,647200,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-17,0.6748,0.7,0.63,0.68,711800,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-18,0.67,0.68,0.64,0.6488,687300,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-19,0.65,0.665,0.6375,0.665,771600,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-22,0.7,0.7271,0.6865,0.72,1719500,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-23,0.718,0.736,0.69,0.7249,1232700,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-24,0.74,0.8,0.693,0.795,698700,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-26,0.815,0.8607,0.8,0.8575,1024700,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-29,0.85,0.85,0.75,0.768,1471000,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-30,0.7725,0.846,0.7725,0.8139,1084000,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2025-12-31,0.849,0.849,0.75,0.78,758000,AAGFF,OTCBB,2026-01-04 16:35:14.195803
OTCBB,AAGFF,d,2026-01-02,0.794,0.81,0.726,0.7662,986100,AAGFF,OTCBB,2026-01-04 16:35:14.195803
