exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAGR,d,2025-12-03,0.0099,0.0099,0.0099,0.0099,100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-04,0.0005,0.0099,0.0005,0.0005,4100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-05,0.0005,0.0099,0.0005,0.0099,7400,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-08,0.0099,0.0099,0.0005,0.0005,2100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-09,0.0005,0.0099,0.0005,0.0099,1800,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-10,0.0099,0.0099,0.0099,0.0099,100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-11,0.0099,0.0099,0.0005,0.0005,2200,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-12,0.0099,0.0099,0.0005,0.0005,1800,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-15,0.0099,0.0099,0.0099,0.0099,100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-16,0.0099,0.0099,0.0005,0.0005,171400,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-17,0.0099,0.0099,0.0099,0.0099,100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-18,0.0099,0.0099,0.0099,0.0099,100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-19,0.0005,0.0099,0.0005,0.0005,600,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-22,0.0099,0.0099,0.0005,0.0005,1400,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-23,0.0005,0.0011,0.0005,0.0011,50700,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-24,0.0099,0.0099,0.0099,0.0099,100,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2025-12-26,0.0005,0.0099,0.0005,0.0005,51800,AAGR,OTCBB,2026-01-04 16:36:53.114863
OTCBB,AAGR,d,2026-01-02,0.0099,0.0099,0.0099,0.0099,200,AAGR,OTCBB,2026-01-04 16:36:53.114863
