exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAIGF,d,2025-12-03,10.27,10.35,10.171,10.255,71700,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-04,10.292,10.342,9.63,10.214,7300,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-05,9.91,10.24,9.91,9.91,9800,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-08,10.15,10.15,9.798,10.03,15600,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-09,9.945,10.092,9.798,10.092,17200,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-10,10.0,10.072,9.79,9.79,3700,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-11,10.092,10.19,9.796,9.796,8700,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-12,9.95,10.46,9.692,10.12,626300,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-15,10.52,10.52,9.78,10.3501,13200,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-16,10.394,10.5,10.01,10.106,9000,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-17,10.22,10.61,10.172,10.172,16700,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-18,10.688,10.7,10.452,10.452,18800,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-19,10.416,10.67,10.39,10.4054,17000,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-22,11.03,11.03,10.39,10.39,7500,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-23,10.35,10.65,10.35,10.35,12800,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-24,10.7268,10.7274,10.438,10.5238,3600,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-26,10.555,10.912,10.555,10.912,11700,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-29,10.872,10.872,10.4,10.872,8300,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-30,10.488,10.872,10.36,10.68,9600,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2025-12-31,10.2413,10.828,10.2228,10.828,5700,AAIGF,OTCBB,2026-01-04 16:37:26.040975
OTCBB,AAIGF,d,2026-01-02,10.852,10.852,10.416,10.416,8000,AAIGF,OTCBB,2026-01-04 16:37:26.040975
