exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAMMF,d,2025-12-03,0.34,0.35,0.32,0.35,50300,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-04,0.36,0.395,0.36,0.385,27400,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-05,0.381,0.381,0.34,0.34,26600,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-08,0.35,0.395,0.33,0.3463,22100,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-09,0.352,0.397,0.332,0.39,73200,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-10,0.332,0.3949,0.305,0.305,23700,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-11,0.307,0.397,0.307,0.3949,44100,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-12,0.4,0.4,0.35,0.3999,42700,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-15,0.38,0.38,0.36,0.36,12400,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-16,0.35,0.3764,0.35,0.35,19400,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-17,0.35,0.35,0.35,0.35,21100,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-18,0.3363,0.4,0.3361,0.36,22000,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-19,0.37,0.397,0.37,0.397,21500,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-22,0.4,0.42,0.37,0.42,69300,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-23,0.41,0.42,0.37,0.37,33700,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-24,0.41,0.41,0.322,0.41,19000,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-26,0.41,0.41,0.323,0.41,24700,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-29,0.41,0.43,0.41,0.42,87700,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-30,0.44,0.44,0.43,0.44,36700,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2025-12-31,0.35,0.44,0.35,0.35,54100,AAMMF,OTCBB,2026-01-04 16:39:37.637486
OTCBB,AAMMF,d,2026-01-02,0.44,0.44,0.4,0.4,37800,AAMMF,OTCBB,2026-01-04 16:39:37.637486
