exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AACAY,d,2025-12-15,4.8,4.8,4.8,4.8,500,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-16,4.914,4.965,4.77,4.875,7500,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-17,4.84,4.99,4.79,4.79,10000,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-18,4.871,4.871,4.65,4.871,1700,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-19,4.9165,4.9165,4.85,4.9165,400,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-22,4.8725,4.8725,4.78,4.78,2300,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-23,4.825,4.9,4.8105,4.9,3900,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-24,4.9,4.9,4.9,4.9,800,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-26,4.9225,4.98,4.9225,4.98,1800,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-29,4.9,4.96,4.75,4.96,1600,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-30,4.84,4.9648,4.84,4.9648,1800,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2025-12-31,5.1999,5.1999,5.02,5.02,900,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-02,5.1,5.13,5.1,5.13,5100,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-05,5.0866,5.1912,5.0188,5.0475,2200,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-06,5.09,5.14,5.0775,5.09,2700,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-07,5.085,5.085,4.89,4.89,2200,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-08,4.81,5.0,4.81,5.0,2400,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-09,4.9375,4.9375,4.9375,4.9375,300,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-12,4.98,5.0,4.97,5.0,2000,AACAY,OTCBB,2026-01-14 10:05:33.385776
OTCBB,AACAY,d,2026-01-13,4.925,4.9625,4.925,4.9625,900,AACAY,OTCBB,2026-01-14 10:05:33.385776
