exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AACTF,d,2025-12-15,0.0066,0.007,0.0066,0.007,14500,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-17,0.0063,0.0066,0.0063,0.0063,20900,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-18,0.0063,0.0063,0.0063,0.0063,62000,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-19,0.0063,0.0063,0.0063,0.0063,53500,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-22,0.0065,0.0066,0.0063,0.0063,14000,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-23,0.006,0.0063,0.006,0.0063,6600,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-26,0.0063,0.0064,0.0063,0.0063,7000,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-29,0.0064,0.0064,0.006,0.006,7200,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-30,0.0061,0.0064,0.006,0.006,12800,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2025-12-31,0.0076,0.0076,0.006,0.007,114400,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-02,0.0063,0.0063,0.006,0.0063,6000,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-05,0.0069,0.0069,0.0069,0.0069,1500,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-06,0.0068,0.0068,0.0068,0.0068,10000,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-07,0.0075,0.0075,0.0074,0.0075,289900,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-08,0.0061,0.0074,0.0061,0.0074,7800,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-09,0.0076,0.0076,0.0076,0.0076,2000,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-12,0.0074,0.0074,0.006,0.0074,159500,AACTF,OTCBB,2026-01-14 10:06:06.107285
OTCBB,AACTF,d,2026-01-13,0.0091,0.0091,0.006,0.0084,32900,AACTF,OTCBB,2026-01-14 10:06:06.107285
