exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAGAF,d,2025-12-15,0.738,0.776,0.697,0.7079,436200,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-16,0.7366,0.7406,0.6818,0.69,327000,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-17,0.715,0.7759,0.7097,0.7441,546500,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-18,0.7311,0.75,0.6821,0.7,604900,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-19,0.7147,0.75,0.6825,0.7393,595900,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-22,0.7549,0.8,0.7374,0.7845,446600,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-23,0.8,0.848,0.753,0.79,684500,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-24,0.83,0.8759,0.76,0.8682,276700,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-26,0.89,1.015,0.88,0.943,793200,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-29,0.84,0.8826,0.8112,0.8411,852100,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-30,0.8698,0.9769,0.8428,0.8475,1271800,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2025-12-31,0.825,0.825,0.74,0.7649,1779900,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-02,0.8006,0.8268,0.72,0.7644,1129400,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-05,0.7955,0.8097,0.7527,0.76,1037800,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-06,0.757,0.787,0.754,0.775,756200,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-07,0.82,0.82,0.7276,0.75,580500,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-08,0.7092,0.733,0.693,0.73,511000,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-09,0.73,0.75,0.72,0.7275,555400,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-12,0.75,0.7722,0.74,0.7722,1418400,AAGAF,OTCBB,2026-01-14 10:07:11.902783
OTCBB,AAGAF,d,2026-01-13,0.78,0.816,0.6649,0.672,2098900,AAGAF,OTCBB,2026-01-14 10:07:11.902783
