exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAGC,d,2025-12-15,0.0006,0.0007,0.0006,0.0007,662800,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-16,0.0007,0.0007,0.0006,0.0006,1102500,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-17,0.0006,0.0007,0.0006,0.0006,9877600,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-18,0.0006,0.0007,0.0006,0.0007,298400,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-19,0.0007,0.0007,0.0006,0.0006,7999500,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-22,0.0007,0.0007,0.0005,0.0006,1042900,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-23,0.0006,0.0007,0.0006,0.0007,3002300,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-24,0.0007,0.0007,0.0006,0.0007,570800,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-26,0.0006,0.0007,0.0006,0.0007,2005000,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-29,0.0006,0.0007,0.0006,0.0006,3270400,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-30,0.0007,0.0007,0.0005,0.0006,1845000,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2025-12-31,0.0006,0.0007,0.0005,0.0006,8370800,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-02,0.0006,0.0008,0.0005,0.0007,16294600,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-05,0.0007,0.0008,0.0007,0.0007,15007900,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-06,0.0007,0.0008,0.0006,0.0008,3469300,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-07,0.0008,0.0008,0.0006,0.0008,1912400,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-08,0.0008,0.0008,0.0006,0.0008,673400,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-09,0.0008,0.0008,0.0007,0.0008,6379700,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-12,0.0008,0.0008,0.0008,0.0008,2336500,AAGC,OTCBB,2026-01-14 10:07:44.784589
OTCBB,AAGC,d,2026-01-13,0.0008,0.0009,0.0007,0.0008,14685800,AAGC,OTCBB,2026-01-14 10:07:44.784589
