exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAGIY,d,2025-12-15,41.54,41.61,41.2701,41.39,189100,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-16,41.04,41.29,40.949,41.27,251200,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-17,41.875,41.9499,41.25,41.28,174100,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-18,42.17,42.27,41.92,41.92,213600,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-19,42.51,42.75,42.08,42.43,301200,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-22,42.45,42.7699,42.0,42.7,330200,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-23,42.425,42.6,42.2,42.6,259900,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-24,43.03,43.03,42.8,42.85,113100,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-26,43.0,43.27,43.0,43.26,114800,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-29,42.235,42.46,41.8,42.43,123800,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-30,42.07,42.2,41.5,42.19,244400,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2025-12-31,41.3899,41.3899,40.9225,41.03,116800,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-02,42.853,43.01,42.8,42.85,259100,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-05,43.037,43.67,42.99,43.67,239500,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-06,43.81,44.99,43.8,44.15,204200,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-07,44.0,44.22,43.86,43.92,215200,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-08,42.584,43.51,42.584,43.38,198300,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-09,43.57,43.8,43.225,43.67,151900,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-12,43.045,43.73,42.86,43.68,249800,AAGIY,OTCBB,2026-01-14 10:09:23.855730
OTCBB,AAGIY,d,2026-01-13,43.47,43.59,43.09,43.32,214700,AAGIY,OTCBB,2026-01-14 10:09:23.855730
