exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAIRF,d,2025-12-15,0.023,0.025,0.0173,0.02,12200,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-16,0.02,0.0255,0.02,0.0255,230700,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-17,0.0251,0.0254,0.0251,0.0251,7900,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-18,0.0248,0.0266,0.0248,0.0248,32600,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-19,0.0263,0.0272,0.0247,0.0262,27500,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-22,0.0255,0.033,0.023,0.023,27900,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-23,0.027,0.0305,0.023,0.029,33600,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-24,0.023,0.0296,0.023,0.0296,1200,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-26,0.0293,0.03,0.0254,0.0286,5600,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-29,0.0277,0.03,0.0249,0.0277,14000,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-30,0.028,0.028,0.023,0.023,159900,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2025-12-31,0.024,0.024,0.023,0.0235,55200,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-02,0.0265,0.0276,0.0226,0.0226,22200,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-05,0.0182,0.0259,0.0182,0.023,11700,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-06,0.0238,0.026,0.0195,0.0255,11900,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-07,0.0285,0.0305,0.0254,0.0275,156100,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-08,0.0291,0.0309,0.0245,0.0245,28500,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-09,0.029,0.029,0.0259,0.0259,31600,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-12,0.0283,0.0283,0.0283,0.0283,1500,AAIRF,OTCBB,2026-01-14 10:11:02.620461
OTCBB,AAIRF,d,2026-01-13,0.0369,0.044,0.0361,0.044,46800,AAIRF,OTCBB,2026-01-14 10:11:02.620461
