exchangeCode,symbolCode,interval,date,open,high,low,close,volume,symbol,exchange,download_timestamp
OTCBB,AAPI,d,2025-12-15,0.3469,0.4,0.3469,0.3469,2400,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-16,0.3518,0.3518,0.344,0.344,2600,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-17,0.375,0.375,0.375,0.375,4000,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-19,0.375,0.375,0.375,0.375,5000,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-22,0.399,0.399,0.375,0.399,23200,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-23,0.3251,0.3251,0.3251,0.3251,200,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-26,0.302,0.302,0.3001,0.3001,4000,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-30,0.399,0.399,0.399,0.399,2000,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2025-12-31,0.38,0.38,0.38,0.38,200,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2026-01-02,0.37,0.37,0.37,0.37,5000,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2026-01-07,0.32,0.32,0.32,0.32,10000,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2026-01-09,0.3001,0.31,0.3,0.3,11500,AAPI,OTCBB,2026-01-14 10:13:47.060411
OTCBB,AAPI,d,2026-01-12,0.3,0.3,0.25,0.25,33400,AAPI,OTCBB,2026-01-14 10:13:47.060411
